iter	MAPE	RMSE
609	0.283590337	314.2028422
610	0.2835669068	314.075307
611	0.2834185132	314.0467751
612	0.2832681311	313.8563509
613	0.2831456543	313.7896631
614	0.2830882204	313.709193
615	0.2828646346	313.4424215
616	0.2828683152	313.424121
617	0.2827302022	313.2190225
618	0.2826850195	313.199399
619	0.2825234601	312.9168068
620	0.2823468759	312.7499634
621	0.2822522026	312.5820631
622	0.282248976	312.5755402
623	0.2822060557	312.554212
624	0.282195093	312.5477432
625	0.2819847341	312.356999
626	0.2817859235	312.130077
627	0.2816751803	312.022521
628	0.281535243	311.8670654
629	0.2814443141	311.7906871
630	0.2813223372	311.735154
631	0.2809842887	311.5712069
632	0.2807820743	311.2754089
633	0.2807061125	311.1714738
634	0.2804480308	311.1382617
635	0.2803090536	310.9394543
636	0.2801581846	310.8730768
637	0.2799067645	310.7427576
638	0.2797516168	310.5084249
639	0.2796174721	310.3758505
640	0.279550733	310.2570862
641	0.2795590348	310.2506257
642	0.2794794434	310.1080796
643	0.2792857867	309.8342338
644	0.2791622835	309.7290851
645	0.2790042888	309.5441885
646	0.2789001858	309.4361392
647	0.2787571544	309.3473806
648	0.2786682264	309.2779417
649	0.2785970567	309.2666118
650	0.2784489621	309.1108814
651	0.2783226346	309.0493804
652	0.2782477729	309.0040921
653	0.2782175785	308.9401635
654	0.278216057	308.8582167
655	0.2781152383	308.8190801
656	0.2780816811	308.7400176
657	0.27792391	308.6401116
658	0.2778235505	308.5248665
659	0.2776972807	308.4579706
660	0.2775308347	308.3098393
661	0.2775067534	308.2690894
662	0.2774123334	308.064397
663	0.2773397895	307.9657616
664	0.2772656132	307.9278754
665	0.2771911919	307.8895687
666	0.2770321117	307.773175
667	0.2768029395	307.7391496
668	0.2767083535	307.6536652
669	0.2766404348	307.5771392
670	0.2765286149	307.4339276
671	0.2764581104	307.3342871
672	0.2763906029	307.2187559
673	0.2762692043	307.1836427
674	0.2760803957	307.0766804
675	0.2760614614	306.9379424
676	0.2759623608	306.8050594
677	0.2757721835	306.7300718
678	0.2756023783	306.6094605
679	0.2755312612	306.3834256
680	0.2754737434	306.2011327
681	0.2753606769	306.1279958
682	0.275327019	306.0861478
683	0.2751774856	305.8983858
684	0.2750146069	305.5177962
685	0.274859752	305.462361
686	0.274661175	304.973843
687	0.2745773524	304.8601707
688	0.2744264538	304.7863225
689	0.2744257878	304.7812838
690	0.27439907	304.7400657
691	0.27434997	304.6686643
692	0.2742469305	304.61225
693	0.2741606359	304.4896704
694	0.2740222369	304.4364047
695	0.2739528033	304.3603478
696	0.2738374366	304.3344792
697	0.2736884037	304.1074941
698	0.2736134468	304.0637496
699	0.2733269689	303.9573997
700	0.2731615066	303.7675271
701	0.2731200511	303.7031756
702	0.2730712295	303.6591617
703	0.273033822	303.6500925
704	0.2729669312	303.613776
705	0.2729578124	303.5723088
706	0.2728075445	303.3307285
707	0.2728010697	303.3289594
708	0.2726608763	303.2343392
709	0.2725871665	303.1990871
710	0.2725863173	303.196452
711	0.2724056442	303.154541
712	0.2723235931	302.9897629
713	0.2722007986	302.6751797
714	0.2721836171	302.6316313
715	0.2721137545	302.5486681
716	0.2718230854	302.4066115
717	0.2717824435	302.2893845
718	0.2717971869	302.2533464
719	0.2717357176	302.1731181
720	0.2717399367	302.1596856
721	0.2716755845	302.0830225
722	0.2715681865	301.9408299
723	0.2715816208	301.8731818
724	0.2714925193	301.8006586
725	0.2714706773	301.7896306
726	0.271451996	301.7391477
727	0.2714256831	301.6695857
728	0.2712920352	301.5236291
729	0.2712759277	301.5099092
730	0.2712045525	301.3767652
731	0.2711089913	301.2093306
732	0.2710080847	301.0341716
733	0.2709655685	300.9904856
734	0.2708040649	300.7938078
735	0.2707668495	300.7416547
736	0.270727936	300.6652627
